utgdag;kaupverd;nuvirdi;ist120;ibm2;ib2m2;ib3m2;rism2;bilskurm2;geymm2;two_livunits;two_storey;storeys_3;age_studull;not_concrete;stud1house;bath_fixtures;fjbilsk;lodpflm;landratio;innig_factor;utig_factor;fjarmalastofnunselur;hverfi;gata
03/05/2015;23000;23000;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;10;0;1;2;0;740;1;1;1;1;2010;0
26/08/2017;40000;39943;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;12;0;1;2;0;740;1;1;1;0;2010;0
29/05/2014;32900;32872;1111;171.6;0;0;0;36.5;0;0;1;0;12;1;1.619;3;0;739;0.999;1;1;0;2010;0
07/10/2016;39950;39950;1111;236.8;0;88.8;0;84.2;0;0;1;0;27;1;1.186;4;0;930;1.257;1.13;1.11;1;2010;0
30/11/2019;50500;50169;1111;171.6;0;0;0;36.5;0;0;1;0;17;1;1.619;3;0;739;0.999;1;1;0;2010;0
26/02/2015;28500;28479;1111;138.7;0;0;0;33.2;0;0;0;0;12;1;1.201;2;0;767;1.036;1;1;0;2010;0
11/02/2016;37350;37301;1111;161.3;0;0;0;50;0;0;0;0;14;0;1.066;4;0;864;1.168;1;1;0;2010;0
08/02/2014;26625;25515;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;8;1;1;2;0;651;0.88;1;1;0;2010;0
29/06/2018;43000;42575;1121_1123;110.8;0;0;0;32.2;12.2;0;0;0;12;1;1;2;0;651;0.88;1;1;0;2010;0
20/02/2016;34000;33574;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;10;0;1;3;0;713;0.964;1;1;0;2010;0
10/03/2016;37900;37840;1122_1125;151.5;0;0;0;29;0;0;0;0;11;0;1;4;0;655;0.885;1;1;0;2010;0
13/04/2018;48900;48779;1122_1125;151.5;0;0;0;29;0;0;0;0;13;0;1;4;0;655;0.885;1;1;0;2010;0
20/10/2016;37500;37463;1121_1123;112.3;0;0;0;31.1;11.8;0;0;0;10;1;1;3;0;651;0.88;1;1;0;2010;0
02/03/2014;24800;25548;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;8;1;1;2;0;651;0.88;1;1;0;2010;0
22/03/2019;43900;43276;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;13;1;1;2;0;651;0.88;1;1;0;2010;0
06/02/2016;31300;31300;1111;175.8;0;0;0;40.9;0;0;0;0;14;1;1;4;0;864;1.168;1;1;1;2010;0
23/05/2014;26500;26486;1111;120.9;0;0;0;41.3;0;0;0;0;13;1;1.029;2;0;864;1.168;1;1;0;2010;0
09/12/2017;38000;37965;1111;120.9;0;0;0;41.3;0;0;0;0;16;1;1.029;2;0;864;1.168;1;1;0;2010;0
05/07/2017;42900;42836;1111;136.2;0;0;0;31.7;0;0;0;0;16;1;1;3;0;862;1.165;1;1;0;2010;0
22/03/2017;40000;39935;1111;143.4;0;0;0;37.4;0;0;0;0;16;1;1;3;0;726;0.981;1;1;0;2010;0
28/07/2019;47000;46528;1111;125.7;0;0;0;26;0;0;0;0;15;1;1.031;3;0;830;1.122;1;1;0;2010;0
29/11/2015;17000;16961;1111;143.8;0;61.9;0;44.2;26.5;0;1;0;62;0;1.121;2;0;750;1.014;0.84;0.89;1;2010;0
23/12/2016;11000;10959;1126;95.1;0;0;0;36.6;0;0;0;0;63;1;1;2;0;586.4;0.792;1;1;1;2010;0
31/03/2017;23300;23099;1126;95.1;0;0;0;36.6;0;0;0;0;64;1;1;2;0;586.4;0.792;1;1;0;2010;0
17/06/2017;41900;41776;1111;145.5;0;0;0;45;0;0;0;0;39;1;1.152;2;0;756;1.022;1;1;0;2010;0
13/05/2017;41000;40886;1111;137.5;0;0;0;50.4;0;0;0;0;49;1;1.049;2;0;890;1.203;1.22;1.2;0;2010;0
